algo_a,algo_b,workload,metric,mean_a,std_a,mean_b,std_b,t_stat,p_value,significant,n_a,n_b,error
PPO,RR,cpu_heavy,avg_waiting_time,265.8666666666667,27.186152975002678,352.52,31.174753159694802,-6.624701920291505,3.530753923351493e-06,True,10,10,
PPO,RR,cpu_heavy,avg_turnaround_time,300.81,29.11856583939548,387.4633333333333,33.08887564360603,-6.21691867743608,7.793053577424992e-06,True,10,10,
PPO,RR,cpu_heavy,fairness_index,0.9383133783778714,0.00979571766932546,0.9383133783778714,0.00979571766932546,0.0,1.0,False,10,10,
PPO,RR,io_heavy,avg_waiting_time,18.189999999999998,3.8885095053039933,21.01666666666667,4.6168304557120265,-1.4808513245564774,0.15643203645026788,False,10,10,
PPO,RR,io_heavy,avg_turnaround_time,22.56,4.300295711910582,25.386666666666667,5.044620652820606,-1.3484688252321828,0.1946441723354939,False,10,10,
PPO,RR,io_heavy,fairness_index,0.7804523933547107,0.03851478609110329,0.7804523933547107,0.03851478609110329,0.0,1.0,False,10,10,
PPO,RR,mixed,avg_waiting_time,39.86666666666666,3.4852422556038922,60.973333333333336,5.147354588452136,-10.737146583113352,1.1368865221728229e-08,True,10,10,
PPO,RR,mixed,avg_turnaround_time,53.46666666666666,3.5477344535754667,74.57333333333332,5.4721923293035735,-10.23446814594817,2.815197614183444e-08,True,10,10,
PPO,RR,mixed,fairness_index,0.45195799270545856,0.01825253979233664,0.45195799270545856,0.01825253979233664,0.0,1.0,False,10,10,
PPO,RR,random,avg_waiting_time,137.63333333333335,30.702354435795872,189.94333333333333,36.520439229032846,-3.4670700855140977,0.0028482595426643485,True,10,10,
PPO,RR,random,avg_turnaround_time,161.91333333333333,33.53052119863114,214.22333333333336,39.394760728293626,-3.1975838799841023,0.0051120852625361896,True,10,10,
PPO,RR,random,fairness_index,0.7340587283462006,0.04775346212069103,0.7340587283462006,0.04775346212069103,0.0,1.0,False,10,10,
PPO,MLFQ,cpu_heavy,avg_waiting_time,265.8666666666667,27.186152975002678,343.23999999999995,30.814497950650075,-5.954226035519999,1.319657203857573e-05,True,10,10,
PPO,MLFQ,cpu_heavy,avg_turnaround_time,300.81,29.11856583939548,392.7200000000001,32.65069223927272,-6.643493257751951,3.311502124021631e-06,True,10,10,
PPO,MLFQ,cpu_heavy,fairness_index,0.9383133783778714,0.00979571766932546,0.9383133783778714,0.00979571766932546,0.0,1.0,False,10,10,
PPO,MLFQ,io_heavy,avg_waiting_time,18.189999999999998,3.8885095053039933,13.446666666666667,3.6937451301382116,2.7967719040187258,0.011939794480360894,True,10,10,
PPO,MLFQ,io_heavy,avg_turnaround_time,22.56,4.300295711910582,27.046666666666663,5.619525044734212,-2.0050631212565073,0.061294457292857374,False,10,10,
PPO,MLFQ,io_heavy,fairness_index,0.7804523933547107,0.03851478609110329,0.7804523933547107,0.03851478609110329,0.0,1.0,False,10,10,
PPO,MLFQ,mixed,avg_waiting_time,39.86666666666666,3.4852422556038922,49.92666666666666,4.450573551607883,-5.627711708382322,2.999199780358016e-05,True,10,10,
PPO,MLFQ,mixed,avg_turnaround_time,53.46666666666666,3.5477344535754667,74.28666666666668,5.267890153246046,-10.366411929719998,1.9124863694234504e-08,True,10,10,
PPO,MLFQ,mixed,fairness_index,0.45195799270545856,0.01825253979233664,0.45195799270545856,0.01825253979233664,0.0,1.0,False,10,10,
PPO,MLFQ,random,avg_waiting_time,137.63333333333335,30.702354435795872,178.35666666666665,38.2765152186553,-2.6244588712282253,0.017643971688580257,True,10,10,
PPO,MLFQ,random,avg_turnaround_time,161.91333333333333,33.53052119863114,214.82666666666668,41.15676384115427,-3.151963193959755,0.005724709476257748,True,10,10,
PPO,MLFQ,random,fairness_index,0.7340587283462006,0.04775346212069103,0.7340587283462006,0.04775346212069103,0.0,1.0,False,10,10,
Hybrid,RR,cpu_heavy,avg_waiting_time,301.12666666666667,32.987785992566366,352.52,31.174753159694802,-3.580691702935151,0.0021458695211759096,True,10,10,
Hybrid,RR,cpu_heavy,avg_turnaround_time,336.07,34.87270838526106,387.4633333333333,33.08887564360603,-3.380716411358131,0.003340947848883092,True,10,10,
Hybrid,RR,cpu_heavy,fairness_index,0.9383133783778714,0.00979571766932546,0.9383133783778714,0.00979571766932546,0.0,1.0,False,10,10,
Hybrid,RR,io_heavy,avg_waiting_time,19.54666666666667,4.708154208326519,21.01666666666667,4.6168304557120265,-0.7049582224469614,0.489861977203355,False,10,10,
Hybrid,RR,io_heavy,avg_turnaround_time,23.916666666666664,5.143478431020235,25.386666666666667,5.044620652820606,-0.6452362052975971,0.5269168617144198,False,10,10,
Hybrid,RR,io_heavy,fairness_index,0.7804523933547107,0.03851478609110329,0.7804523933547107,0.03851478609110329,0.0,1.0,False,10,10,
Hybrid,RR,mixed,avg_waiting_time,40.836666666666666,3.5592845029358804,60.973333333333336,5.147354588452136,-10.175256378652211,2.1493159705296625e-08,True,10,10,
Hybrid,RR,mixed,avg_turnaround_time,54.43666666666667,3.703966842504178,74.57333333333332,5.4721923293035735,-9.636615533169449,5.0836632228766694e-08,True,10,10,
Hybrid,RR,mixed,fairness_index,0.45195799270545856,0.01825253979233664,0.45195799270545856,0.01825253979233664,0.0,1.0,False,10,10,
Hybrid,RR,random,avg_waiting_time,142.7766666666667,34.11949969239378,189.94333333333333,36.520439229032846,-2.984345920575892,0.007980626744098399,True,10,10,
Hybrid,RR,random,avg_turnaround_time,167.05666666666667,36.7641970561739,214.22333333333336,39.394760728293626,-2.7680267286716296,0.012713997221251301,True,10,10,
Hybrid,RR,random,fairness_index,0.7340587283462006,0.04775346212069103,0.7340587283462006,0.04775346212069103,0.0,1.0,False,10,10,
Hybrid,MLFQ,cpu_heavy,avg_waiting_time,301.12666666666667,32.987785992566366,343.23999999999995,30.814497950650075,-2.9501668928278573,0.00859417825374587,True,10,10,
Hybrid,MLFQ,cpu_heavy,avg_turnaround_time,336.07,34.87270838526106,392.7200000000001,32.65069223927272,-3.749950937855804,0.00147536268600421,True,10,10,
Hybrid,MLFQ,cpu_heavy,fairness_index,0.9383133783778714,0.00979571766932546,0.9383133783778714,0.00979571766932546,0.0,1.0,False,10,10,
Hybrid,MLFQ,io_heavy,avg_waiting_time,19.54666666666667,4.708154208326519,13.446666666666667,3.6937451301382116,3.223478884852115,0.004978562425072177,True,10,10,
Hybrid,MLFQ,io_heavy,avg_turnaround_time,23.916666666666664,5.143478431020235,27.046666666666663,5.619525044734212,-1.2992761548206984,0.21037122533106295,False,10,10,
Hybrid,MLFQ,io_heavy,fairness_index,0.7804523933547107,0.03851478609110329,0.7804523933547107,0.03851478609110329,0.0,1.0,False,10,10,
Hybrid,MLFQ,mixed,avg_waiting_time,40.836666666666666,3.5592845029358804,49.92666666666666,4.450573551607883,-5.04407893125609,9.702247793105863e-05,True,10,10,
Hybrid,MLFQ,mixed,avg_turnaround_time,54.43666666666667,3.703966842504178,74.28666666666668,5.267890153246046,-9.747501248406184,3.5960221170653984e-08,True,10,10,
Hybrid,MLFQ,mixed,fairness_index,0.45195799270545856,0.01825253979233664,0.45195799270545856,0.01825253979233664,0.0,1.0,False,10,10,
Hybrid,MLFQ,random,avg_waiting_time,142.7766666666667,34.11949969239378,178.35666666666665,38.2765152186553,-2.1942772441162015,0.041762060811062825,True,10,10,
Hybrid,MLFQ,random,avg_turnaround_time,167.05666666666667,36.7641970561739,214.82666666666668,41.15676384115427,-2.737328888092911,0.013640424364036867,True,10,10,
Hybrid,MLFQ,random,fairness_index,0.7340587283462006,0.04775346212069103,0.7340587283462006,0.04775346212069103,0.0,1.0,False,10,10,
