algorithm,workload_type,run_id,avg_waiting_time,avg_turnaround_time,avg_response_time,throughput,cpu_utilization,fairness_index,context_switches
FCFS,cpu_heavy,0,224.4,261.6,224.4,0.052083333333333336,0.96875,0.4894446231714791,0
RR,cpu_heavy,0,389.3666666666667,426.56666666666666,12.6,0.05328596802841918,0.9911190053285968,0.9804647771523497,532
MLFQ,cpu_heavy,0,379.1,430.5,5.0,0.05319148936170213,0.9893617021276596,0.9883030590032726,511
FCFS,io_heavy,0,21.3,26.266666666666666,21.3,0.38461538461538464,0.9551282051282052,0.5371526518097327,0
RR,io_heavy,0,29.366666666666667,34.333333333333336,9.866666666666667,0.39473684210526316,0.9802631578947368,0.5403989410687097,52
MLFQ,io_heavy,0,19.166666666666668,36.8,4.533333333333333,0.38961038961038963,0.9675324675324676,0.5361427318239746,50
FCFS,mixed,0,93.96666666666667,108.93333333333334,93.96666666666667,0.12875536480686695,0.9635193133047211,0.34920309132648314,0
RR,mixed,0,62.0,76.96666666666667,9.133333333333333,0.13100436681222707,0.980349344978166,0.5472598451226006,199
MLFQ,mixed,0,51.03333333333333,76.66666666666667,4.266666666666667,0.12875536480686695,0.9635193133047211,0.6236533748197776,140
FCFS,random,0,128.03333333333333,150.13333333333333,128.03333333333333,0.08771929824561403,0.9692982456140351,0.4439821164656443,0
RR,random,0,162.2,184.3,11.433333333333334,0.09009009009009009,0.9954954954954955,0.43550175929571655,299
MLFQ,random,0,150.33333333333334,184.6,5.033333333333333,0.08982035928143713,0.9925149700598802,0.44116398790553685,268
FCFS,cpu_heavy,1,202.5,237.5,202.5,0.05545286506469501,0.9704251386321626,0.49261772538800086,0
RR,cpu_heavy,1,354.6666666666667,389.6666666666667,12.6,0.05660377358490566,0.9905660377358491,0.9309919228034687,496
MLFQ,cpu_heavy,1,343.7,393.1666666666667,5.0,0.05660377358490566,0.9905660377358491,0.9876906426663954,472
FCFS,io_heavy,1,18.0,22.433333333333334,18.0,0.4166666666666667,0.9236111111111112,0.5063818577107264,0
RR,io_heavy,1,21.133333333333333,25.566666666666666,7.433333333333334,0.43478260869565216,0.9637681159420289,0.5477138390597923,44
MLFQ,io_heavy,1,14.1,26.233333333333334,2.3,0.43478260869565216,0.9637681159420289,0.49867288946605587,43
FCFS,mixed,1,73.86666666666666,86.86666666666666,73.86666666666666,0.15306122448979592,0.9948979591836735,0.3839115362879547,0
RR,mixed,1,54.93333333333333,67.93333333333334,7.4,0.15228426395939088,0.9898477157360406,0.6116870654326637,160
MLFQ,mixed,1,44.766666666666666,67.0,2.533333333333333,0.15306122448979592,0.9948979591836735,0.5798474807394591,125
FCFS,random,1,155.26666666666668,180.36666666666667,155.26666666666668,0.07936507936507936,0.996031746031746,0.431792359857745,0
RR,random,1,198.03333333333333,223.13333333333333,10.733333333333333,0.07936507936507936,0.996031746031746,0.6122822228766691,352
MLFQ,random,1,186.6,223.16666666666666,4.133333333333334,0.07957559681697612,0.9986737400530504,0.37026403990811535,329
FCFS,cpu_heavy,2,215.83333333333334,252.46666666666667,215.83333333333334,0.05385996409335727,0.9865350089766607,0.4799718416405521,0
RR,cpu_heavy,2,383.3,419.93333333333334,12.6,0.0539568345323741,0.9883093525179856,0.9864000321819508,523
MLFQ,cpu_heavy,2,370.26666666666665,421.8666666666667,5.0,0.05405405405405406,0.9900900900900901,0.9912485874224507,506
FCFS,io_heavy,2,15.2,19.466666666666665,15.2,0.44776119402985076,0.9552238805970149,0.5800817044129863,0
RR,io_heavy,2,20.266666666666666,24.533333333333335,5.9,0.45454545454545453,0.9696969696969697,0.526939667844002,43
MLFQ,io_heavy,2,12.933333333333334,26.0,2.533333333333333,0.45454545454545453,0.9696969696969697,0.5028798140932009,42
