algorithm,workload_type,run_id,avg_waiting_time,avg_turnaround_time,avg_response_time,throughput,cpu_utilization,fairness_index,context_switches
PPO,cpu_heavy,0,316.53333333333336,353.23333333333335,23.7,0.05328596802841918,0.9911190053285968,0.9429700631445055,772
Hybrid,cpu_heavy,0,272.1,309.1666666666667,52.36666666666667,0.05328596802841918,0.9911190053285968,0.9429700631445055,859
PPO,io_heavy,0,27.266666666666666,32.233333333333334,6.566666666666666,0.39473684210526316,0.9802631578947368,0.8343104096204434,95
Hybrid,io_heavy,0,25.833333333333332,30.766666666666666,8.4,0.39473684210526316,0.9802631578947368,0.8343104096204434,85
PPO,mixed,0,36.1,50.6,12.366666666666667,0.13100436681222707,0.980349344978166,0.4216623789504507,61
Hybrid,mixed,0,41.36666666666667,56.3,7.133333333333334,0.13100436681222707,0.980349344978166,0.4216623789504507,214
PPO,random,0,110.0,131.66666666666666,30.7,0.09009009009009009,0.9954954954954955,0.7295145631067961,281
Hybrid,random,0,111.3,133.33333333333334,25.733333333333334,0.09009009009009009,0.9954954954954955,0.7295145631067961,447
PPO,cpu_heavy,1,275.06666666666666,310.03333333333336,30.466666666666665,0.05660377358490566,0.9905660377358491,0.9413904400840207,683
Hybrid,cpu_heavy,1,274.3,309.1333333333333,38.233333333333334,0.05660377358490566,0.9905660377358491,0.9413904400840207,790
PPO,io_heavy,1,20.333333333333332,24.733333333333334,4.3,0.4411764705882353,0.9779411764705882,0.7270448006576243,79
Hybrid,io_heavy,1,18.6,23.033333333333335,4.933333333333334,0.42857142857142855,0.95,0.7270448006576243,78
PPO,mixed,1,36.36666666666667,48.96666666666667,12.233333333333333,0.15384615384615385,1.0,0.4570861882437793,117
Hybrid,mixed,1,39.733333333333334,52.266666666666666,13.1,0.15384615384615385,1.0,0.4570861882437793,146
PPO,random,1,132.96666666666667,157.33333333333334,35.06666666666667,0.07957559681697612,0.9986737400530504,0.7367676295170156,331
Hybrid,random,1,143.3,168.13333333333333,37.6,0.07957559681697612,0.9986737400530504,0.7367676295170156,535
PPO,cpu_heavy,2,312.76666666666665,349.03333333333336,21.966666666666665,0.05415162454873646,0.9918772563176895,0.9380468634715006,746
Hybrid,cpu_heavy,2,292.1666666666667,328.56666666666666,24.366666666666667,0.05415162454873646,0.9918772563176895,0.9380468634715006,870
PPO,io_heavy,2,18.2,22.466666666666665,3.7333333333333334,0.45454545454545453,0.9696969696969697,0.7869356388088377,86
Hybrid,io_heavy,2,17.9,22.1,3.8666666666666667,0.45454545454545453,0.9696969696969697,0.7869356388088377,65
PPO,mixed,2,39.666666666666664,53.266666666666666,17.5,0.14354066985645933,0.9976076555023924,0.4541487111180757,109
Hybrid,mixed,2,36.8,50.666666666666664,13.633333333333333,0.14354066985645933,0.9976076555023924,0.4541487111180757,151
PPO,random,2,187.26666666666668,214.0,17.166666666666668,0.07334963325183375,0.9938875305623472,0.8302483325168633,491
Hybrid,random,2,189.03333333333333,216.03333333333333,46.03333333333333,0.07334963325183375,0.9938875305623472,0.8302483325168633,610
PPO,cpu_heavy,3,287.3,322.43333333333334,21.266666666666666,0.055970149253731345,0.9906716417910447,0.9529250735070466,673
Hybrid,cpu_heavy,3,297.73333333333335,332.6666666666667,46.5,0.055970149253731345,0.9906716417910447,0.9529250735070466,862
PPO,io_heavy,3,22.4,27.166666666666668,5.733333333333333,0.410958904109589,0.9794520547945206,0.791676345334882,87
Hybrid,io_heavy,3,22.433333333333334,27.166666666666668,5.966666666666667,0.410958904109589,0.9794520547945206,0.791676345334882,81
PPO,mixed,3,45.13333333333333,59.8,16.1,0.13452914798206278,0.9955156950672646,0.4621097046413502,152
Hybrid,mixed,3,48.0,62.8,14.933333333333334,0.13452914798206278,0.9955156950672646,0.4621097046413502,211
PPO,random,3,135.93333333333334,161.06666666666666,19.133333333333333,0.07653061224489796,0.9910714285714286,0.7344903098653236,418
Hybrid,random,3,137.1,162.83333333333334,19.466666666666665,0.07653061224489796,0.9910714285714286,0.7344903098653236,560
PPO,cpu_heavy,4,236.96666666666667,269.46666666666664,23.3,0.060362173038229376,0.9899396378269618,0.9252149982800137,578
Hybrid,cpu_heavy,4,213.76666666666668,246.33333333333334,40.06666666666667,0.060362173038229376,0.9899396378269618,0.9252149982800137,741
